state;district;school;race;n
A;A1;A1_1;asian;2
A;A1;A1_1;black;14
A;A1;A1_1;hisp;30
A;A1;A1_1;white;351
A;A1;A1_2;black;9
A;A1;A1_2;hisp;101
A;A1;A1_2;white;327
A;A1;A1_3;black;10
A;A1;A1_3;hisp;217
A;A1;A1_3;white;356
A;A1;A1_4;asian;1
A;A1;A1_4;black;21
A;A1;A1_4;hisp;66
A;A1;A1_4;white;411
A;A2;A2_1;hisp;14
A;A2;A2_1;white;360
A;A2;A2_2;white;275
A;A2;A2_3;hisp;33
A;A2;A2_3;white;400
A;A2;A2_4;asian;4
A;A2;A2_4;hisp;3
A;A2;A2_4;white;589
A;A2;A2_5;asian;1
A;A2;A2_5;black;7
A;A2;A2_5;hisp;14
A;A2;A2_5;white;493
A;A2;A2_6;native;6
A;A2;A2_6;white;429
A;A2;A2_7;hisp;46
A;A2;A2_7;white;371
A;A2;A2_8;white;417
A;A2;A2_9;asian;3
A;A2;A2_9;black;2
A;A2;A2_9;hisp;39
A;A2;A2_9;white;589
A;A3;A3_1;asian;62
A;A3;A3_1;black;89
A;A3;A3_1;hisp;32
A;A3;A3_1;native;2
A;A3;A3_1;white;725
A;A3;A3_2;asian;6
A;A3;A3_2;black;35
A;A3;A3_2;hisp;7
A;A3;A3_2;white;491
A;A3;A3_3;asian;20
A;A3;A3_3;black;63
A;A3;A3_3;white;701
A;A3;A3_4;asian;18
A;A3;A3_4;black;20
A;A3;A3_4;hisp;3
A;A3;A3_4;white;507
A;A3;A3_5;asian;20
A;A3;A3_5;black;74
A;A3;A3_5;hisp;15
A;A3;A3_5;white;315
A;A3;A3_6;asian;30
A;A3;A3_6;black;61
A;A3;A3_6;hisp;65
A;A3;A3_6;white;362
A;A3;A3_7;asian;25
A;A3;A3_7;black;88
A;A3;A3_7;hisp;68
A;A3;A3_7;white;283
A;A3;A3_8;asian;12
A;A3;A3_8;black;54
A;A3;A3_8;hisp;1
A;A3;A3_8;white;205
A;A4;A4_1;asian;28
A;A4;A4_1;black;143
A;A4;A4_1;hisp;20
A;A4;A4_1;native;10
A;A4;A4_1;white;556
A;A4;A4_2;asian;31
A;A4;A4_2;black;126
A;A4;A4_2;hisp;19
A;A4;A4_2;native;19
A;A4;A4_2;white;403
A;A5;A5_1;asian;2
A;A5;A5_1;black;268
A;A5;A5_1;hisp;3
A;A5;A5_1;native;2
A;A5;A5_1;white;532
A;A6;A6_1;black;276
A;A6;A6_1;white;11
A;A6;A6_2;black;127
A;A6;A6_2;hisp;3
A;A6;A6_2;white;92
A;A6;A6_3;black;201
A;A6;A6_3;white;5
A;A6;A6_4;black;231
A;A6;A6_4;hisp;1
A;A6;A6_4;white;20
A;A7;A7_1;hisp;2
A;A7;A7_1;white;514
A;A8;A8_1;asian;4
A;A8;A8_1;black;82
A;A8;A8_1;hisp;47
A;A8;A8_1;white;214
A;A8;A8_2;asian;1
A;A8;A8_2;black;63
A;A8;A8_2;hisp;22
A;A8;A8_2;white;191
A;A8;A8_3;asian;4
A;A8;A8_3;black;79
A;A8;A8_3;hisp;25
A;A8;A8_3;white;265
A;A8;A8_4;asian;2
A;A8;A8_4;black;77
A;A8;A8_4;hisp;23
A;A8;A8_4;white;244
A;A9;A9_1;asian;5
A;A9;A9_1;black;99
A;A9;A9_1;hisp;15
A;A9;A9_1;white;149
A;A9;A9_2;asian;16
A;A9;A9_2;black;87
A;A9;A9_2;hisp;4
A;A9;A9_2;white;250
A;A9;A9_3;asian;33
A;A9;A9_3;black;152
A;A9;A9_3;hisp;3
A;A9;A9_3;white;279
A;A9;A9_4;asian;14
A;A9;A9_4;black;154
A;A9;A9_4;hisp;7
A;A9;A9_4;white;236
A;A9;A9_5;asian;14
A;A9;A9_5;black;106
A;A9;A9_5;hisp;6
A;A9;A9_5;white;169
A;A9;A9_6;asian;16
A;A9;A9_6;black;136
A;A9;A9_6;white;214
A;A9;A9_7;asian;26
A;A9;A9_7;black;177
A;A9;A9_7;hisp;3
A;A9;A9_7;white;204
A;A10;A10_1;asian;1
A;A10;A10_1;black;79
A;A10;A10_1;hisp;8
A;A10;A10_1;white;342
A;A11;A11_1;asian;1
A;A11;A11_1;native;1
A;A11;A11_1;white;251
A;A11;A11_2;black;23
A;A11;A11_2;hisp;2
A;A11;A11_2;native;19
A;A11;A11_2;white;382
A;A11;A11_3;hisp;1
A;A11;A11_3;native;2
A;A11;A11_3;white;204
A;A11;A11_4;black;1
A;A11;A11_4;native;2
A;A11;A11_4;white;159
A;A11;A11_5;black;11
A;A11;A11_5;white;323
A;A11;A11_6;hisp;7
A;A11;A11_6;white;128
A;A11;A11_7;black;5
A;A11;A11_7;hisp;5
A;A11;A11_7;white;241
A;A11;A11_8;asian;1
A;A11;A11_8;black;52
A;A11;A11_8;hisp;17
A;A11;A11_8;native;1
A;A11;A11_8;white;652
A;A11;A11_9;asian;1
A;A11;A11_9;black;6
A;A11;A11_9;hisp;2
A;A11;A11_9;white;512
A;A11;A11_10;asian;6
A;A11;A11_10;black;326
A;A11;A11_10;hisp;3
A;A11;A11_10;native;2
A;A11;A11_10;white;394
A;A11;A11_11;black;94
A;A11;A11_11;hisp;6
A;A11;A11_11;white;248
A;A11;A11_12;asian;1
A;A11;A11_12;black;45
A;A11;A11_12;hisp;8
A;A11;A11_12;white;640
A;A11;A11_13;black;30
A;A11;A11_13;hisp;1
A;A11;A11_13;white;289
A;A12;A12_1;black;118
A;A12;A12_1;white;110
A;A12;A12_2;black;122
A;A12;A12_2;hisp;5
A;A12;A12_2;white;15
A;A12;A12_3;black;144
A;A12;A12_3;white;3
A;A12;A12_4;black;372
A;A12;A12_4;hisp;2
A;A12;A12_4;white;12
A;A12;A12_5;black;261
A;A12;A12_5;white;27
A;A13;A13_1;black;258
A;A13;A13_1;hisp;15
A;A13;A13_1;white;85
A;A13;A13_2;black;571
A;A13;A13_3;asian;1
A;A13;A13_3;black;718
A;A13;A13_3;white;44
A;A13;A13_4;black;476
A;A13;A13_4;white;16
A;A13;A13_5;asian;1
A;A13;A13_5;black;671
A;A13;A13_5;white;11
A;A14;A14_1;black;210
A;A14;A14_1;white;232
A;A14;A14_2;black;57
A;A14;A14_2;native;2
A;A14;A14_2;white;201
A;A14;A14_3;black;56
A;A14;A14_3;hisp;9
A;A14;A14_3;white;316
A;A15;A15_1;black;356
A;A15;A15_1;hisp;7
A;A15;A15_1;white;40
A;A15;A15_2;black;282
A;A15;A15_2;white;1
A;A15;A15_3;black;631
A;A15;A15_3;white;11
A;A15;A15_4;black;522
A;A15;A15_4;white;1
A;A15;A15_5;black;857
A;A15;A15_5;hisp;3
A;A15;A15_5;white;9
A;A15;A15_6;asian;2
A;A15;A15_6;black;336
A;A15;A15_6;hisp;3
A;A15;A15_6;white;120
A;A15;A15_7;black;365
A;A15;A15_8;black;241
A;A15;A15_9;asian;17
A;A15;A15_9;black;297
A;A15;A15_9;hisp;4
A;A15;A15_9;native;2
A;A15;A15_9;white;63
A;A15;A15_10;black;234
A;A15;A15_11;black;375
A;A15;A15_11;white;2
A;A15;A15_12;black;451
A;A15;A15_12;hisp;9
A;A15;A15_12;white;21
A;A15;A15_13;black;190
A;A15;A15_13;hisp;3
A;A15;A15_13;white;62
A;A15;A15_14;black;455
A;A15;A15_15;black;316
A;A15;A15_15;hisp;3
A;A15;A15_16;black;727
A;A15;A15_17;black;463
A;A15;A15_17;hisp;8
A;A15;A15_17;white;2
A;A15;A15_18;black;358
A;A15;A15_19;black;245
A;A15;A15_20;black;421
A;A15;A15_21;black;490
A;A15;A15_22;asian;3
A;A15;A15_22;black;256
A;A15;A15_22;hisp;1
A;A15;A15_22;white;81
A;A15;A15_23;black;531
A;A15;A15_24;black;334
A;A15;A15_25;black;474
A;A15;A15_25;hisp;4
A;A15;A15_25;white;51
A;A15;A15_26;black;348
A;A15;A15_27;black;231
A;A15;A15_27;hisp;3
A;A15;A15_27;white;5
A;A15;A15_28;black;403
A;A15;A15_28;white;1
A;A15;A15_29;black;241
A;A15;A15_29;white;7
A;A15;A15_30;black;274
A;A15;A15_30;white;1
A;A15;A15_31;black;228
A;A15;A15_31;white;2
A;A15;A15_32;black;201
A;A15;A15_33;black;195
A;A15;A15_34;asian;12
A;A15;A15_34;black;428
A;A15;A15_34;hisp;63
A;A15;A15_34;white;18
A;A15;A15_35;black;174
A;A15;A15_36;black;496
A;A15;A15_37;black;217
A;A15;A15_38;asian;2
A;A15;A15_38;black;560
A;A15;A15_39;black;492
A;A15;A15_39;white;3
A;A15;A15_40;black;334
A;A15;A15_40;white;11
A;A15;A15_41;black;324
A;A15;A15_42;black;199
A;A15;A15_42;hisp;2
A;A15;A15_42;white;46
A;A15;A15_43;black;272
A;A15;A15_44;black;745
A;A15;A15_44;white;5
A;A15;A15_45;asian;5
A;A15;A15_45;black;653
A;A15;A15_45;hisp;55
A;A15;A15_45;native;1
A;A15;A15_45;white;24
A;A15;A15_46;asian;6
A;A15;A15_46;black;368
A;A15;A15_46;white;36
A;A15;A15_47;black;526
A;A15;A15_47;white;5
A;A15;A15_48;asian;10
A;A15;A15_48;black;570
A;A15;A15_48;hisp;1
A;A15;A15_48;white;13
A;A16;A16_1;hisp;64
A;A16;A16_1;white;581
A;A16;A16_2;hisp;54
A;A16;A16_2;white;284
A;A16;A16_3;hisp;44
A;A16;A16_3;native;7
A;A16;A16_3;white;493
A;A16;A16_4;hisp;101
A;A16;A16_4;white;517
A;A17;A17_1;asian;10
A;A17;A17_1;black;240
A;A17;A17_1;hisp;3
A;A17;A17_1;native;4
A;A17;A17_1;white;283
A;A18;A18_1;black;238
A;A18;A18_1;white;1
A;A18;A18_2;black;517
A;A18;A18_2;hisp;5
A;A18;A18_2;white;1
A;A18;A18_3;black;373
A;A18;A18_3;hisp;1
A;A18;A18_3;white;2
A;A19;A19_1;black;384
A;A19;A19_1;white;181
A;A19;A19_2;black;258
A;A19;A19_2;hisp;2
A;A19;A19_2;native;2
A;A19;A19_2;white;125
A;A20;A20_1;black;29
A;A20;A20_1;hisp;4
A;A20;A20_1;white;414
A;A20;A20_2;asian;5
A;A20;A20_2;black;135
A;A20;A20_2;hisp;17
A;A20;A20_2;white;486
A;A21;A21_1;black;449
A;A21;A21_1;hisp;1
A;A21;A21_1;white;34
A;A21;A21_2;black;240
A;A21;A21_2;hisp;1
A;A21;A21_2;white;391
A;A21;A21_3;black;201
A;A21;A21_3;hisp;2
A;A21;A21_3;white;93
A;A21;A21_4;black;113
A;A21;A21_4;white;310
A;A21;A21_5;black;121
A;A21;A21_5;hisp;2
A;A21;A21_5;white;147
A;A21;A21_6;black;62
A;A21;A21_6;native;1
A;A21;A21_6;white;150
A;A22;A22_1;black;98
A;A22;A22_1;hisp;3
A;A22;A22_1;native;2
A;A22;A22_1;white;649
A;A23;A23_1;black;85
A;A23;A23_1;hisp;24
A;A23;A23_1;white;582
A;A24;A24_1;black;300
A;A24;A24_1;native;2
A;A24;A24_1;white;167
A;A24;A24_2;black;207
A;A24;A24_2;native;1
A;A24;A24_2;white;194
A;A24;A24_3;black;402
A;A24;A24_3;white;6
A;A24;A24_4;black;230
A;A24;A24_4;white;17
A;A25;A25_1;black;119
A;A25;A25_1;white;21
A;A25;A25_2;asian;2
A;A25;A25_2;black;354
A;A25;A25_2;native;1
A;A25;A25_2;white;195
A;A25;A25_3;black;389
A;A25;A25_3;white;165
A;A25;A25_4;black;313
A;A25;A25_4;white;185
A;A26;A26_1;black;69
A;A26;A26_1;hisp;9
A;A26;A26_1;white;300
A;A26;A26_2;black;148
A;A26;A26_2;hisp;7
A;A26;A26_2;native;1
A;A26;A26_2;white;277
A;A27;A27_1;hisp;2
A;A27;A27_1;white;223
A;A27;A27_2;black;25
A;A27;A27_2;hisp;9
A;A27;A27_2;white;225
A;A27;A27_3;white;494
A;A28;A28_1;black;49
A;A28;A28_1;hisp;3
A;A28;A28_1;native;1
A;A28;A28_1;white;246
A;A28;A28_2;black;117
A;A28;A28_2;white;270
A;A28;A28_3;black;1
A;A28;A28_3;white;220
A;A28;A28_4;black;19
A;A28;A28_4;hisp;2
A;A28;A28_4;white;435
A;A29;A29_1;black;275
A;A29;A29_1;white;38
A;A29;A29_2;black;138
A;A29;A29_2;white;59
A;A29;A29_3;black;177
A;A29;A29_3;white;67
A;A30;A30_1;black;293
A;A30;A30_1;hisp;1
A;A30;A30_1;white;19
A;A30;A30_2;black;115
A;A30;A30_2;white;81
A;A30;A30_3;black;33
A;A30;A30_3;hisp;2
A;A30;A30_3;native;1
A;A30;A30_3;white;363
A;A31;A31_1;black;22
A;A31;A31_1;native;2
A;A31;A31_1;white;581
A;A31;A31_2;black;12
A;A31;A31_2;white;283
A;A31;A31_3;asian;1
A;A31;A31_3;black;55
A;A31;A31_3;hisp;7
A;A31;A31_3;white;181
A;A32;A32_1;black;5
A;A32;A32_1;hisp;20
A;A32;A32_1;white;383
A;A32;A32_2;asian;2
A;A32;A32_2;hisp;20
A;A32;A32_2;white;448
A;A32;A32_3;asian;2
A;A32;A32_3;hisp;48
A;A32;A32_3;white;386
A;A33;A33_1;native;3
A;A33;A33_1;white;316
A;A33;A33_2;white;471
A;A33;A33_3;white;119
A;A33;A33_4;white;150
A;A33;A33_5;hisp;3
A;A33;A33_5;white;153
A;A33;A33_6;hisp;25
A;A33;A33_6;white;623
A;A33;A33_7;black;4
A;A33;A33_7;hisp;7
A;A33;A33_7;white;677
A;A33;A33_8;asian;3
A;A33;A33_8;black;54
A;A33;A33_8;hisp;9
A;A33;A33_8;native;2
A;A33;A33_8;white;438
A;A33;A33_9;asian;3
A;A33;A33_9;hisp;4
A;A33;A33_9;white;449
A;A33;A33_10;hisp;4
A;A33;A33_10;white;483
A;A33;A33_11;black;3
A;A33;A33_11;hisp;13
A;A33;A33_11;native;2
A;A33;A33_11;white;747
A;A34;A34_1;black;50
A;A34;A34_1;white;289
